V3_BL_n	V4_BL
1.2	-1.4E-05
1.1800000000000002	-1.2E-05
1.1600000000000001	-1.4E-05
1.1400000000000001	-1.2E-05
1.12	-1.4E-05
1.1	-1.2E-05
1.08	-1.4E-05
1.06	-1.2E-05
1.04	-1.2E-05
1.02	-1.4E-05
1	-1.2E-05
0.98000000000000009	-1.4E-05
0.96000000000000008	-1.6E-05
0.94000000000000006	-1.4E-05
0.92	-1.2E-05
0.9	-1.2E-05
0.88	-1.2E-05
0.86	-1.4E-05
0.84000000000000008	-1.4E-05
0.82000000000000006	-1.2E-05
0.8	-1.2E-05
0.78	-1.4E-05
0.76	-1.2E-05
0.74	-1.2E-05
0.72000000000000008	-9.9999999999999991E-06
0.70000000000000007	-1.4E-05
0.68	-9.9999999999999991E-06
0.66	-1.4E-05
0.64	-1.4E-05
0.62	-1.2E-05
0.6	-1.6E-05
0.58000000000000007	-1.8E-05
0.56	-1.6E-05
0.54	-1.4E-05
0.52	-1.6E-05
0.5	-1.8E-05
0.48000000000000004	-1.4E-05
0.46	-1.6E-05
0.44	-1.8E-05
0.42000000000000004	-1.6E-05
0.4	-1.8E-05
0.38	-1.6E-05
0.36000000000000004	-1.4E-05
0.34	-9.9999999999999991E-06
0.32	-2E-06
0.3	3.9999999999999996E-05
0.28	0.00023999999999999998
0.26	0.00116
0.24000000000000002	0.0053539999999999994
0.22	0.939224
0.2	0.939006
0.18000000000000002	0.938986
0.16	0.938946
0.14	0.93895999999999991
0.12000000000000001	0.938956
0.1	0.938924
0.08	0.938904
0.060000000000000005	0.938898
0.04	0.938894
0.02	0.93885
0	0.93887
